Attrition_Flag,Gender,Dependent_count,Education_Level,Income_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Married,Single,Unknown,Age_Under 30,Age_30-40,Age_40-50,Age_50-60,Total_Trans_Amt_Binned_Low,Total_Trans_Amt_Binned_Medium,Total_Trans_Amt_Binned_High,Avg_Open_To_Buy_Binned_Low,Avg_Open_To_Buy_Binned_Medium,Avg_Open_To_Buy_Binned_High,Total_Revolving_Bal_Binned_Low,Total_Revolving_Bal_Binned_Medium,Total_Revolving_Bal_Binned_High
0,0.0,3,1,3,39,5,1,3,42,1.335,1.625,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False
0,1.0,5,3,1,44,6,1,2,33,1.541,3.714,0,1,0,False,False,True,False,False,True,False,False,True,False,False,True,False
0,0.0,3,3,4,36,4,1,0,20,2.594,2.333,1,0,0,False,False,False,True,False,True,False,True,False,False,False,False,False
0,1.0,4,1,1,34,3,4,1,20,1.405,2.333,0,0,1,False,True,False,False,False,True,False,True,False,False,False,False,True
0,0.0,3,0,3,21,5,1,0,28,2.175,2.5,1,0,0,False,True,False,False,True,False,False,True,False,False,False,False,False
0,0.0,2,3,2,36,3,1,2,24,1.376,0.846,1,0,0,False,False,True,False,False,True,False,True,False,False,False,True,False
0,0.0,4,-1,5,46,6,1,3,31,1.975,0.722,1,0,0,False,False,False,True,False,True,False,False,False,False,False,False,True
0,0.0,0,1,3,27,2,2,2,36,2.204,0.714,0,0,1,False,True,False,False,False,True,False,False,False,True,False,True,False
0,0.0,3,0,3,36,5,2,0,24,3.355,1.182,0,1,0,False,True,False,False,False,True,False,False,False,True,False,False,True
0,0.0,2,3,4,36,6,3,3,32,1.524,0.882,0,1,0,False,False,True,False,False,True,False,False,True,False,False,False,True
0,0.0,5,0,5,31,5,3,2,42,0.831,0.68,0,0,1,False,False,True,False,False,True,False,False,True,False,False,True,False
0,0.0,1,-1,2,54,6,2,3,26,1.433,1.364,1,0,0,False,False,False,False,False,True,False,False,True,False,False,False,True
0,0.0,1,2,4,36,3,6,0,17,3.397,3.25,0,1,0,False,False,False,True,False,True,False,False,True,False,False,False,False
0,0.0,3,3,3,30,5,1,3,33,1.163,2.0,0,0,1,False,True,False,False,False,True,False,False,True,False,False,False,True
0,1.0,2,3,1,48,5,2,2,29,1.19,0.611,1,0,0,False,False,False,True,False,True,False,True,False,False,False,True,False
0,0.0,4,-1,4,37,5,1,2,27,1.707,1.7,0,0,1,False,False,True,False,False,True,False,True,False,False,False,True,False
0,0.0,4,4,4,36,6,2,3,27,1.708,0.929,0,1,0,False,False,True,False,False,True,False,False,False,False,False,False,True
0,0.0,3,-1,4,34,4,4,1,21,0.653,1.625,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False
0,0.0,1,1,2,56,2,2,3,30,1.831,1.143,1,0,0,False,False,False,False,False,True,False,True,False,False,False,False,True
0,1.0,2,3,-1,37,6,1,2,21,0.966,0.909,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False
0,0.0,1,5,3,42,5,2,0,27,0.906,0.929,0,0,0,False,False,True,False,False,True,False,False,False,True,False,False,True
1,1.0,0,3,1,49,2,3,3,16,1.047,0.6,1,0,0,False,False,False,False,True,False,False,True,False,False,False,False,False
0,0.0,3,1,2,33,4,2,1,18,1.608,1.571,1,0,0,False,False,True,False,True,False,False,True,False,False,False,True,False
0,1.0,4,-1,1,36,3,3,2,23,0.573,0.353,0,1,0,False,False,True,False,False,True,False,True,False,False,False,False,True
0,0.0,2,-1,4,42,4,2,3,21,1.075,0.75,1,0,0,False,False,False,True,False,True,False,False,True,False,False,False,False
0,1.0,3,3,1,28,6,1,2,22,0.797,0.833,0,1,0,False,False,True,False,False,True,False,False,True,False,False,False,True
0,0.0,1,1,2,46,4,1,2,23,0.921,1.3,0,0,1,False,False,False,True,False,True,False,False,True,False,False,True,False
0,0.0,1,-1,3,56,3,3,2,40,0.843,1.0,1,0,0,False,False,False,False,False,True,False,False,True,False,False,True,False
0,1.0,3,0,-1,34,5,2,2,18,0.525,1.571,0,1,0,False,False,True,False,False,True,False,False,True,False,False,False,False
0,0.0,4,1,2,42,6,0,0,38,0.739,0.9,1,0,0,False,False,True,False,False,True,False,True,False,False,False,True,False
0,0.0,3,-1,4,33,3,2,3,25,0.977,2.571,1,0,0,False,False,False,True,False,True,False,True,False,False,False,False,True
0,0.0,2,0,3,48,2,5,1,26,1.323,1.6,1,0,0,False,False,False,True,False,True,False,True,False,False,False,False,True
0,0.0,4,3,3,36,4,1,2,24,1.726,1.667,1,0,0,False,False,True,False,False,True,False,False,True,False,False,False,True
